#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference	FCBH Character
council of elders	-1	Male	Elder			LUK 22:67 <-(3 more)-> ACT 5:40
craftsman	1	Male	Adult			EXO 36:5 <-(4 more)-> ISA 44:20
craftsmen and workmen	-1	Male	Adult			ACT 19:28 <-(1 more)-> ACT 19:34
Cretan prophet	1	Male				TIT 1:12
criminal on cross, insulting	1	Male	Adult			MAT 27:44 & LUK 23:39	Man (Crucified) Bad
criminal on cross, repentant	1	Male	Adult			LUK 23:40 <-(1 more)-> LUK 23:42	Man (Crucified) Good
crippled man	1	Male	Adult			ACT 3:3 & ACT 3:5
crowd	-1		Adult			MAT 7:28 <-(26 more)-> ACT 21:36
crowd after mute healed	-1		Adult			MAT 9:33 & LUK 11:14
crowd at Festival of Tabernacles in Jerusalem, many in the	-1		Adult			JHN 7:31
crowd at Festival of Tabernacles in Jerusalem, others	-1		Adult			JHN 7:12 & JHN 7:41
crowd at Festival of Tabernacles in Jerusalem, some	-1		Adult			JHN 7:12 & JHN 7:40
crowd at Festival of Tabernacles in Jerusalem, still others	-1		Adult			JHN 7:41 & JHN 7:42
crowd at Festival of Tabernacles in Jerusalem, the	-1		Adult			JHN 7:20
crowd at Jericho	-1		Adult			MAT 20:30 <-(3 more)-> LUK 19:11
crowd before Pilate	-1		Adult			MAT 27:21 <-(7 more)-> LUK 23:21
crowd in Jerusalem	-1		Adult			ACT 22:22 & ACT 22:24
crowd in Jerusalem on Pentecost	-1		Adult			ACT 2:37
crowd in Lystra	-1		Adult			ACT 14:11 & ACT 14:12
crowd near sea of Galilee	-1		Adult			MAT 15:31
crowd preparing for Passover Feast	-1		Adult			MAT 21:9 <-(6 more)-> JHN 12:37
crowd preparing for Passover Feast, others	-1		Adult			JHN 12:29
crowd, large (witnessed healing of widow's son)	-1		Adult			LUK 7:16
crowd, many in the	-1		Adult			MAT 20:31 <-(2 more)-> LUK 18:39
crowd, some in	-1		Adult			LUK 11:15
cured man, blind from birth	1	Male	Adult			JHN 9:9 <-(11 more)-> JHN 9:38
Cyrus, king of Persia	1	Male	Adult			2CH 36:23 <-(6 more)-> ISA 48:16
Dan	1	Male	Adult			GEN 37:8 <-(33 more)-> GEN 50:18	Son of Jacob
Daniel	1	Male	Adult			DAN 1:12 <-(98 more)-> DAN 10:19
Danites	-1		Adult			JDG 18:2 <-(2 more)-> JDG 18:25
Darius, king of Medes and Persians	1	Male	Adult			EZR 6:1 <-(15 more)-> DAN 6:27
Dathan	1	Male			son of Eliab (Reubenite)	NUM 16:3 <-(2 more)-> NUM 16:14
